Portuguese,Spanish
que,qué
não,No
o,el
de,de
a,la
é,es
você,tú
e,y
eu,yo
um,uno
para,a
está,este
uma,una
se,si
com,con
por,poner
ele,él
isso,eso
em,en
do,de
me,a mí
mas,pero
como,como
bem,bien
da,de la
no,en el
os,los
ela,ella
na,en la
sim,Sí
aqui,aquí
mais,más
tem,tiene
meu,mi
seu,su
muito,muy
foi,fue
as,las
vai,va
sua,su
estou,estoy
vamos,vamos
tudo,todo
minha,mi
só,solo
então,entonces
pode,puede
agora,ahora
vou,voy
ser,ser
quando,cuando
fazer,hacer
sei,Sé
eles,ellos
nós,nosotros
tenho,Tengo
te,tú
estava,estaba
certo,bien
quer,quiere
sabe,el sabe
já,ya
era,era
nos,a nosotros
quem,quien
ou,o
ao,a el
nada,nada
disse,el dijo
há,hay
lá,allá
onde,dónde
quero,Quiero
bom,bien
ter,tener
sou,soy
são,son
dizer,decir
posso,puedo
acho,Creo
sobre,en
mim,a mí
porque,por qué
mesmo,mismo
coisa,cosa
todos,todo
estão,están
algo,algo
até,hasta
tempo,tiempo
assim,así
nunca,nunca
vocês,ustedes
esse,eso
casa,hogar
quê,qué
essa,esa
à,a la
ver,ver
também,también
pra,para
ainda,todavía
tão,entonces
dos,del
cara,rostro
favor,por favor
ir,ir
melhor,mejor
noite,noche
sem,sin
temos,tenemos
obrigado,gracias
dia,día
talvez,tal vez
pai,padre
estamos,somos
esta,este
deus,Dios
alguém,alguien
mãe,madre
vida,vida
senhor,Señor
este,este
isto,este
sempre,siempre
anos,años
vez,tiempo
verdade,verdadero
seus,su
dele,de el
ficar,quedarse
parece,parece
oh,Vaya
claro,Por supuesto
depois,después
tinha,el tenia
falar,hablar
coisas,cosas
antes,antes
pessoas,gente
pouco,pequeño
pelo,para el
preciso,necesario
apenas,justo
homem,hombre
deve,el debe
nem,ni
boa,bien
dois,dos
fazendo,haciendo
todo,todo
lugar,lugar
faz,el lo hace
acha,el piensa
fez,el lo hizo
aí,allá
fora,afuera
estar,ser
qual,cual
disso,de eso
trabalho,trabajar
precisa,necesita
das,de
hoje,hoy
ninguém,nadie
novo,nuevo
queria,yo queria
ei,Ey
comigo,conmigo
mundo,mundo
saber,saber
alguma,alguno
dar,dar
podemos,podemos
grande,grande
sinto,Siento
seja,es
nossa,nuestro
poderia,podría
dinheiro,dinero
suas,su
será,será
nome,nombre
quanto,como
qualquer,cualquier
pela,para el
outro,otro
vá,ir
lhe,a él
dela,su
nosso,nuestro
oi,ey
meus,mi
desculpe,Lo siento
filho,hijo
certeza,certeza
vão,ellos van
hora,tiempo
ok,DE ACUERDO
outra,otro
sair,salir
toda,todo
volta,atrás
problema,problema
obrigada,gracias
olá,Hola
tipo,tipo
realmente,en realidad
sabia,tu sabias
aconteceu,sucedió
menos,menos
mulher,mujer
algum,alguno
diga,decir
falando,hablando
espere,Esperar
ótimo,excelente
carro,auto
vezes,veces
amigo,amigo
primeiro,primero
deveria,debería
seria,el seria
venha,venir
três,tres
entre,entre
daqui,desde aquí
sério,grave
diz,dice
voltar,volver
ah,Vaya
parte,parte
amor,amar
feliz,feliz
às,hacia
viu,vio
embora,a pesar de
família,familia
olhe,mirar
deixar,dejar
atrás,atrás
tenha,tienes
faça,hacer
pensei,Pensé
ajudar,para ayudar
todas,todo
olha,mirar
aquele,Aquél
duas,dos
querida,estimado
frente,frente
vi,sierra
indo,yendo
alguns,alguno
dias,días
fui,Fui
vem,el viene
lado,lado
podem,ellos pueden
fiz,Hice
merda,Mierda
nas,en el
pare,Detener
tarde,tarde
gosto,Me gusta
precisamos,necesitamos
caso,caso
fique,permanecer
dentro,dentro
cidade,ciudad
momento,momento
pegar,tomar
foram,Ellos eran
nenhum,ninguno
gente,gente
somos,somos
amanhã,mañana
fosse,eran
cabeça,cabeza
gostaria,Me gustaría
amigos,amigos
mal,demonio
enquanto,mientras
homens,hombres
logo,pronto
deles,de ellos
desde,desde
tanto,ambos
garota,chica
pessoa,persona
legal,legal
amo,Amo
rápido,rápido
algumas,alguno
cada,cada
jeito,forma
tentando,intentando
meio,bastante
outros,otros
têm,él tiene
medo,miedo
minhas,mi
importa,asunto
irmão,hermano
errado,equivocado
história,historia
primeira,primero
quase,casi
horas,horas
encontrar,encontrar
nova,nuevo
essas,estos
pessoal,tipo
dá,desde
difícil,difícil
forma,forma
contra,contra
matar,matar
semana,semana
dizendo,dicho
perto,cerca
demais,demasiado
entrar,entrar
esses,aquellos
deu,dio
achei,Pensé
deixe,dejar
vejo,Veo
polícia,policía
espero,Espero
sido,estado
juntos,juntos
ajuda,ayuda
ano,año
caminho,camino
nisso,en esto
elas,ellos
quiser,el quiere
crianças,niños
manhã,mañana
for,para
aquela,Aquél
sorte,suerte
morte,muerte
pensar,pensar
papai,papá
aos,hacia
ali,allá
veja,mirar
fica,él es
teve,el tenia
quarto,habitación
levar,tomar
filha,hija
feito,hecho
minutos,minutos
morto,muerto
porta,puerta
tive,Yo tenía
entendo,Entiendo
cima,arriba
acabou,el termino
tá,bueno
chegar,llegar
num,en un
veio,él vino
água,agua
mesma,mismo
dê,de
significa,medio
teria,tendría
pronto,listo
esposa,esposa
vir,venir
acredito,Yo creo
ouvir,escuchar
gosta,le gusta
morrer,morir
nossos,nuestro
olhos,ojos
garoto,chico
última,último
coração,corazón
contar,contar
importante,importante
jogo,juego
acontecendo,acontecimiento
razão,razón
mãos,manos
devo,debo
ideia,idea
consigo,contigo
idiota,estúpido
passar,gastar
havia,había
problemas,problemas
parar,parar
senhora,señora
fim,fin
corpo,cuerpo
chefe,jefe
poder,fuerza
mamãe,mami
ia,Iowa
cuidado,Cuidadoso
começar,para empezar
espera,esperar
ficou,fue dejado
conta,cuenta
exatamente,exactamente
arma,brazo
longe,lejos
escola,escuela
tentar,intentarlo
pois,entonces
terra,Tierra
droga,droga
ontem,ayer
pensando,pensamiento
única,único
devia,debería
sendo,ser
causa,causa
guerra,guerra
chance,oportunidad
usar,usar
marido,marido
mão,mano
tal,semejante
numa,en un
trabalhar,trabajar
sangue,sangre
música,música
esperar,esperar
querem,desear
uns,alguno
nenhuma,ninguno
tivesse,tenía
digo,yo digo
estranho,extraño
maior,más grande
velho,viejo
faço,yo hago
boca,boca
houve,había
festa,fiesta
estavam,Ellos eran
fala,el habla
mulheres,mujer
conhece,Sabes
ouvi,escuché
tirar,tirar
esperando,espera
podia,podría
licença,licencia
capitão,capitán
preocupe,preocuparse
comer,comer
fácil,fácil
deixa,el se va
novamente,de nuevo
além,además
irmã,hermana
meses,meses
eram,Ellos eran
suficiente,suficiente
pais,país
segundo,segundo
sabemos,sabemos
muitas,montón de
cinco,cinco
bebê,bebé
matou,delicado
querido,estimado
muita,muchos
idéia,idea
saia,falda
muitos,muchos
número,número
vê,ver
deixou,él se fue
conseguir,conseguir
lembra,recordar
dessa,de esto
morreu,el murio
tomar,llevar
bastante,bastante
neste,en esto
maneira,manera
quatro,cuatro
filhos,niños
acontecer,suceder
criança,niño
dormir,dormir
durante,durante
possa,poder
desse,de eso
vindo,próximo
certa,bien
café,café
possível,posible
casamento,casamiento
irá,Irán
acordo,acuerdo
quis,buscado
equipe,equipo
conheço,Sé
ruim,malo
culpa,culpa
jantar,almorzar
provavelmente,probablemente
consegue,se logra
telefone,teléfono
esteja,ser
mil,mil
i,i
forte,fuerte
sentir,sentir
viver,vivir
chegou,llegó
diferente,diferente
sozinho,solo
prazer,placer
pergunta,pregunta
procurando,Buscando
iria,yo iría
terá,tendrá
conseguiu,lo logró
outras,otros
final,fin
minuto,minuto
sala,habitación
chega,el llega
único,soltero
nossas,nuestro
falta,falta
desta,de esto
aquilo,Aquél
incrível,increíble
devemos,debemos
direito,bien
nessa,en esto
vivo,vivo
mudar,cambiar
faria,quería
porra,Mierda
perder,perder
falou,el hablo
segurança,seguridad
pagar,pagar
plano,departamento
descobrir,descubrir
conversar,hablar
achar,pensar
próxima,próximo
sabem,saber
comida,alimento
pegue,llevar
diabos,infierno
trás,detrás
jovem,joven
trouxe,él trajo
acreditar,creer
olhar,mirar
cama,cama
ponto,punto
passado,pasado
pena,lástima
colocar,colocar
tchau,adiós
nesse,en que
fale,hablar
ouça,escuchar
nele,en ello
calma,calma
filme,película
pedir,preguntar
paz,paz
sente,sentir
louco,loco
palavra,palabra
cá,aquí
pequeno,pequeño
john,John
caras,tipo
ouviu,el escuchó
próximo,próximo
médico,doctor
pensa,pensar
ligar,para conectar
pior,peor
força,fortaleza
mostrar,espectáculo
país,país
acontece,sucede
fogo,fuego
entende,el entiende
baixo,bajo
sob,bajo
acabar,terminar
continuar,continuar
estiver,eres
lembro,Recuerdo
dizem,ellos dicen
srta,Extrañar
vendo,vidente
luz,luz
jogar,jugar
livro,libro
adeus,adiós
perguntar,preguntar
existe,existe
manter,mantener
fazem,hacer
cedo,temprano
querer,querer
desculpa,Lo siento
jack,Jacobo
semanas,semanas
vim,yo vine
estes,estos
começou,empezó
hospital,hospital
atenção,atención
seis,seis
linda,hermoso
último,último
chamar,llamar
escritório,escritorio
rei,rey
falei,hablé
estávamos,estábamos
especial,especial
comprar,comprar
após,después
resto,descansar
fiquei,me quedé
alô,Hola
saiu,se apagó
ganhar,ganar
controle,control
fico,Soy
brincando,bromas
volte,regresar
si,Sí
nesta,en esto
garotas,chicas
queremos,queremos
presidente,presidente
pegou,él recogió
real,real
devem,debe
aonde,a donde
precisar,necesitar
negócio,negocio
doutor,doctor
esteve,estado
encontro,reunión
pelos,por el
escute,Escuchar
finalmente,finalmente
estado,estado
pé,pie
cuidar,cuidar
ama,Ammán
armas,armas
rua,camino
sam,sam
aqueles,Aquellos
umas,alguno
dólares,dolares
fato,hecho
sentido,sentido
pequena,pequeño
prisão,prisión
casar,casarse
trabalhando,laboral
escolha,elección
puta,perra
amiga,amigo
sozinha,solo
próprio,propio
cabelo,cabello
deste,de esto
estivesse,era
engraçado,divertido
policial,oficial de policia
ai,allá
perfeito,perfecto
passou,sucedió
alto,alto
palavras,palabras
livre,gratis
mente,mente
s,s
seguro,seguro
menina,chica
própria,propio
bonito,hermoso
futuro,futuro
pro,pro
entendi,entendí
esqueça,olvidar
respeito,respeto
tio,tío
entender,entender
uh,oh
estará,será
visto,visa
estas,estos
agente,agente
sinal,señal
grupo,grupo
andar,caminar
presente,regalo
milhões,millón
rosto,rostro
mesa,mesa
dor,dolor
foto,foto
preso,detenido
leve,luz
partir,dejar
consegui,lo logré
sexo,sexo
voz,voz
assassino,asesino
pense,pensar
chamado,llamado
daí,de eso
sai,hojas
pediu,el solicito
jesus,Jesús
situação,situación
olhando,mirando
perdeu,perdió
you,tú
ar,aire
tom,tono
voltou,regresó
grandes,grande
modo,modo
viagem,viaje
sistema,sistema
rapazes,chicos
simples,simple
linha,línea
achou,el pensó
entendeu,entendiste
estive,Estuve
salvar,ahorrar
boas,bien
conhecer,saber
estaria,sería
emprego,trabajo
chama,llama
bonita,hermoso
conosco,con nosotros
melhores,mejor
dez,diez
mensagem,mensaje
michael,Miguel
contou,dijo
idade,edad
crime,delito
questão,pregunta
trazer,traer
usando,usando
local,ubicación
simplesmente,simplemente
lindo,hermoso
tente,intentar
encontrei,encontré
ficará,será
acredita,creer
levou,el tomo
precisam,necesidad
farei,lo haré
doente,enfermo
natal,Navidad
professor,maestro
odeio,odio
rapaz,chico
motivo,razón
disseram,ellos han dicho
fizeram,hizo
seguir,seguir
ótima,excelente
programa,programa
campo,campo
normal,normal
continue,continuar
vontade,deseoso
graças,gracias
menino,chico
chão,piso
sol,sol
hey,ey
soube,yo sabia
acabei,terminé
perguntas,preguntas
surpresa,sorpresa
lista,lista
sonho,sueño
olho,ojo
terminar,finalizar
irei,voy a ir
resposta,respuesta
beber,beber
ordem,orden
encontrou,se encontró
senhores,señores
peguei,Obtuve
hotel,hotel
caixa,caja
quente,cálido
povo,gente
acidente,accidente
erro,error
precisava,necesario
diria,diría
advogado,abogado
us,a nosotros
mortos,muerto
aniversário,cumpleaños
joe,José
inferno,infierno
ataque,ataque
david,David
charlie,charlie
vale,DE ACUERDO
frank,franco
fotos,fotos
show,espectáculo
abrir,abierto
parabéns,Felicidades
fome,hambre
voce,tú
tiver,tener
ficando,conseguir
totalmente,completamente
morta,muerto
loja,almacenar
naquela,eso
energia,energía
conversa,conversación
pelas,por
espaço,espacio
serviço,servicio
monte,montar
assassinato,asesinato
lei,ley
negócios,negocio
banco,banco
reunião,reunión
estarei,yo seré
completamente,completamente
george,jorge
divertido,divertido
ligou,llamado
segunda,segundo
perdi,perdi
fundo,abajo
lutar,pelear
pudesse,podría
explicar,explicar
fomos,estábamos
tome,llevar
notícias,noticias
céu,cielo
trabalha,funciona
exército,ejército
mês,mes
mike,Micro
parecia,pareció
passa,pasa
fará,servirá
continua,continuar
dei,Di
tire,sacar
olhada,mirar
tivemos,tuvimos
carta,carta
lembrar,recordar
roupas,ropa
contato,contacto
detetive,detective
passada,pasado
fizemos,lo hicimos
papel,papel
área,área
governo,gobierno
abra,abierto
interessante,interesante
horrível,horrible
luta,luchar
ben,ben
dando,donación
beleza,belleza
certamente,ciertamente
apartamento,departamento
banheiro,baño
mudou,cambió
capaz,capaz
metade,medio
penso,Creo
funciona,obras
tentei,Lo intenté
procurar,buscar
tradução,traducción
velha,viejo
triste,triste
prometo,Prometo
prova,prueba
barco,bote
bons,bien
tentou,intentó
hein,eh
quantos,cuántos
senti,sintió
decisão,decisión
tenente,teniente
bebida,beber
teremos,tendremos
tv,TELEVISOR
através,a través de
conselho,consejo
avião,avión
juro,interés
saindo,partida
ler,leer
nela,en ella
tocar,tocar
breve,breve
pronta,listo
ligue,llamar
frio,frío
bar,bar
anda,vamos
missão,misión
chave,llave
lamento,lamento
tinham,tenía
impossível,imposible
peça,parte
igreja,iglesia
namorado,novio
terrível,horrible
maravilhoso,maravilloso
namorada,novia
haver,ser
maioria,mayoría
tendo,teniendo
segredo,secreto
leva,el toma
verdadeiro,VERDADERO
viva,vivo
naquele,en que
saiba,saber
roupa,ropa
sete,Siete
vítima,víctima
drogas,drogas
nave,barco
assunto,sujeto
mandou,enviado
imediatamente,inmediatamente
diferentes,diferente
ajude,ayuda
cair,caer
tu,tú
fazemos,nosotros lo hacemos
ouro,oro
loucura,locura
time,equipo
vidas,vidas
pobre,pobre
ouvindo,escuchando
mar,mar
né,¿bien?
faremos,lo haremos
puder,poder
vista,vista
começa,comenzar
alma,alma
aposto,Te apuesto
desses,de estos
fazia,hizo
paul,pablo
general,general
mestre,maestro
adoro,adoro
senhorita,extrañar
celular,Teléfono móvil
oficial,oficial
cavalo,caballo
companhia,compañía
somente,solo
esquecer,olvidar